NAICS Description,naics2002,data,total
,32512,estab.,553
,32512,empl.,J
,32512,ann. pay.,761650
,32512,est. rec.,9685216
Industrial Gas Manufacturing,325120,firms,89
,325120,estab.,553
,325120,empl.,J
,325120,ann. pay.,761650
,325120,est. rec.,9685216
Synthetic Dye and Pigment Manufacturing,32513,firms,159
,32513,estab.,199
,32513,empl.,12855
,32513,ann. pay.,782627
,32513,est. rec.,8003698
Inorganic Dye and Pigment Manufacturing,325131,firms,71
,325131,estab.,92
,325131,empl.,I
,325131,ann. pay.,D
,325131,est. rec.,D
Synthetic Organic Dye and Pigment Manufacturing,325132,firms,90
,325132,estab.,107
,325132,empl.,5128
,325132,ann. pay.,293445
,325132,est. rec.,2306790
Other Basic Inorganic Chemical Manufacturing,32518,firms,418
,32518,estab.,691
,32518,empl.,50679
,32518,ann. pay.,3624090
,32518,est. rec.,32527896
Alkalies and Chlorine Manufacturing,325181,firms,33
,325181,estab.,49
,325181,empl.,I
,325181,ann. pay.,D
,325181,est. rec.,D
Carbon Black Manufacturing,325182,firms,10
,325182,estab.,30
,325182,empl.,G
,325182,ann. pay.,D
,325182,est. rec.,D
All Other Basic Inorganic Chemical Manufacturing,325188,firms,383
,325188,estab.,612
,325188,empl.,42063
,325188,ann. pay.,2977844
,325188,est. rec.,24054601
Other Basic Organic Chemical Manufacturing,32519,firms,815
,32519,estab.,1039
,32519,empl.,81814
,32519,ann. pay.,5678662
,32519,est. rec.,105660846
Gum and Wood Chemical Manufacturing,325191,firms,43
,325191,estab.,51
,325191,empl.,3957
,325191,ann. pay.,176704
,325191,est. rec.,2619349
Cyclic Crude and Intermediate Manufacturing,325192,firms,26
,325192,estab.,31
,325192,empl.,3033
,325192,ann. pay.,269774
,325192,est. rec.,7630036
Ethyl Alcohol Manufacturing,325193,firms,222
,325193,estab.,245
,325193,empl.,5957
,325193,ann. pay.,384918
,325193,est. rec.,14109202
All Other Basic Organic Chemical Manufacturing,325199,firms,541
,325199,estab.,712
,325199,empl.,68867
,325199,ann. pay.,4847266
,325199,est. rec.,81302259
"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",3252,firms,767
,3252,estab.,1076
,3252,empl.,88601
,3252,ann. pay.,5623367
,3252,est. rec.,104515321
Resin and Synthetic Rubber Manufacturing,32521,firms,675
,32521,estab.,949
,32521,empl.,69654
,32521,ann. pay.,4732036
,32521,est. rec.,94339171
Plastics Material and Resin Manufacturing,325211,firms,561
,325211,estab.,799
,325211,empl.,61199
,325211,ann. pay.,4222347
,325211,est. rec.,87266908
Synthetic Rubber Manufacturing,325212,firms,127
,325212,estab.,150
,325212,empl.,8455
,325212,ann. pay.,509689
,325212,est. rec.,7072263
Artificial and Synthetic Fibers and Filaments Manufacturing,32522,firms,100
,32522,estab.,127
,32522,empl.,18947
,32522,ann. pay.,891331
,32522,est. rec.,10176150
Cellulosic Organic Fiber Manufacturing,325221,firms,16
,325221,estab.,17
,325221,empl.,1306
,325221,ann. pay.,69201
,325221,est. rec.,977238
Noncellulosic Organic Fiber Manufacturing,325222,firms,85
,325222,estab.,110
,325222,empl.,17641
,325222,ann. pay.,822130
,325222,est. rec.,9198912
"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",3253,firms,671
,3253,estab.,906
,3253,empl.,28618
,3253,ann. pay.,1504238
,3253,est. rec.,28581538
Fertilizer Manufacturing,32531,firms,493
,32531,estab.,665
,32531,empl.,17950
,32531,ann. pay.,940623
,32531,est. rec.,17011903
Nitrogenous Fertilizer Manufacturing,325311,firms,132
,325311,estab.,157
,325311,empl.,3772
,325311,ann. pay.,236432
,325311,est. rec.,5842505
Phosphatic Fertilizer Manufacturing,325312,firms,30
,325312,estab.,41
,325312,empl.,I
,325312,ann. pay.,D
,325312,est. rec.,D
Fertilizer (Mixing Only) Manufacturing,325314,firms,341
,325314,estab.,467
,325314,empl.,8551
,325314,ann. pay.,346422
,325314,est. rec.,4275079
Pesticide and Other Agricultural Chemical Manufacturing,32532,firms,185
,32532,estab.,241
,32532,empl.,10668
,32532,ann. pay.,563615
,32532,est. rec.,11569635
Pesticide and Other Agricultural Chemical Manufacturing,325320,firms,185
,325320,estab.,241
,325320,empl.,10668
,325320,ann. pay.,563615
,325320,est. rec.,11569635
Pharmaceutical and Medicine Manufacturing,3254,firms,1502
,3254,estab.,1926
,3254,empl.,241339
,3254,ann. pay.,18915925
,3254,est. rec.,181132085
Pharmaceutical and Medicine Manufacturing,32541,firms,1502
,32541,estab.,1926
,32541,empl.,241339
,32541,ann. pay.,18915925
,32541,est. rec.,181132085
Medicinal and Botanical Manufacturing,325411,firms,342
,325411,estab.,366
,325411,empl.,27475
,325411,ann. pay.,2140039
,325411,est. rec.,12382775
Pharmaceutical Preparation Manufacturing,325412,firms,798
,325412,estab.,1002
,325412,empl.,158124
,325412,ann. pay.,12687060
,325412,est. rec.,140546097
In-Vitro Diagnostic Substance Manufacturing,325413,firms,199
,325413,estab.,244
,325413,empl.,27215
,325413,ann. pay.,2210496
,325413,est. rec.,12672955
Biological Product (except Diagnostic) Manufacturing,325414,firms,221
,325414,estab.,314
,325414,empl.,28525
,325414,ann. pay.,1878330
,325414,est. rec.,15530258
"Paint, Coating, and Adhesive Manufacturing",3255,firms,1511
,3255,estab.,1906
,3255,empl.,62493
,3255,ann. pay.,3292590
,3255,est. rec.,32742789
Paint and Coating Manufacturing,32551,firms,1081
,32551,estab.,1318
,32551,empl.,41177
,32551,ann. pay.,2129608
,32551,est. rec.,23373658
Paint and Coating Manufacturing,325510,firms,1081
,325510,estab.,1318
,325510,empl.,41177
,325510,ann. pay.,2129608
,325510,est. rec.,23373658
Adhesive Manufacturing,32552,firms,446
,32552,estab.,588
,32552,empl.,21316
,32552,ann. pay.,1162982
,32552,est. rec.,9369131
Adhesive Manufacturing,325520,firms,446
,325520,estab.,588
,325520,empl.,21316
,325520,ann. pay.,1162982
,325520,est. rec.,9369131
"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",3256,firms,2023
,3256,estab.,2241
,3256,empl.,104422
,3256,ann. pay.,5354573
,3256,est. rec.,94026432
Soap and Cleaning Compound Manufacturing,32561,firms,1269
,32561,estab.,1415
,32561,empl.,46465
,32561,ann. pay.,2474187
,32561,est. rec.,46890862
Soap and Other Detergent Manufacturing,325611,firms,649
,325611,estab.,710
,325611,empl.,23660
,325611,ann. pay.,1235979
,325611,est. rec.,28868302
Polish and Other Sanitation Good Manufacturing,325612,firms,507
,325612,estab.,551
,325612,empl.,16670
,325612,ann. pay.,856171
,325612,est. rec.,9424474
Surface Active Agent Manufacturing,325613,firms,130
,325613,estab.,154
,325613,empl.,6135
,325613,ann. pay.,382037
,325613,est. rec.,8598086
Toilet Preparation Manufacturing,32562,firms,767
,32562,estab.,826
,32562,empl.,57957
,32562,ann. pay.,2880386
,32562,est. rec.,47135570
Toilet Preparation Manufacturing,325620,firms,767
,325620,estab.,826
,325620,empl.,57957
,325620,ann. pay.,2880386
,325620,est. rec.,47135570
Other Chemical Product and Preparation Manufacturing,3259,firms,2229
,3259,estab.,2800
,3259,empl.,103219
,3259,ann. pay.,5173088
,3259,est. rec.,44879060
Printing Ink Manufacturing,32591,firms,250
,32591,estab.,482
,32591,empl.,12821
,32591,ann. pay.,626248
,32591,est. rec.,4926921
Printing Ink Manufacturing,325910,firms,250
,325910,estab.,482
,325910,empl.,12821
,325910,ann. pay.,626248
,325910,est. rec.,4926921
Explosives Manufacturing,32592,firms,50
,32592,estab.,77
,32592,empl.,5926
,32592,ann. pay.,320970
,32592,est. rec.,1602259
Explosives Manufacturing,325920,firms,50
,325920,estab.,77
,325920,empl.,5926
,325920,ann. pay.,320970
,325920,est. rec.,1602259
All Other Chemical Product and Preparation Manufacturing,32599,firms,1935
,32599,estab.,2241
,32599,empl.,84472
,32599,ann. pay.,4225870
,32599,est. rec.,38349880
Custom Compounding of Purchased Resins,325991,firms,477
,325991,estab.,588
,325991,empl.,21942
,325991,ann. pay.,1055557
,325991,est. rec.,9842609
"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,firms,384
,325992,estab.,407
,325992,empl.,26765
,325992,ann. pay.,1251845
,325992,est. rec.,11074997
All Other Miscellaneous Chemical Product and Preparation Manufacturing,325998,firms,1091
,325998,estab.,1246
,325998,empl.,35765
,325998,ann. pay.,1918468
,325998,est. rec.,17432274
Plastics and Rubber Products Manufacturing,326,firms,11187
,326,estab.,14233
,326,empl.,855483
,326,ann. pay.,33477683
,326,est. rec.,211794903
Plastics Product Manufacturing,3261,firms,9552
,3261,estab.,12054
,3261,empl.,707972
,3261,ann. pay.,26989224
,3261,est. rec.,172904659
Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,32611,firms,1066
,32611,estab.,1363
,32611,empl.,97545
,32611,ann. pay.,4399588
,32611,est. rec.,34790985
Plastics Bag Manufacturing,326111,firms,320
,326111,estab.,384
,326111,empl.,29894
,326111,ann. pay.,1197718
,326111,est. rec.,9221249
Plastics Packaging Film and Sheet (including Laminated) Manufacturing,326112,firms,222
,326112,estab.,277
,326112,empl.,23753
,326112,ann. pay.,1112473
,326112,est. rec.,8646319
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,326113,firms,574
,326113,estab.,702
,326113,empl.,43898
,326113,ann. pay.,2089397
,326113,est. rec.,16923417
"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",32612,firms,770
,32612,estab.,1031
,32612,empl.,49680
,32612,ann. pay.,2023492
,32612,est. rec.,15649736
Unlaminated Plastics Profile Shape Manufacturing,326121,firms,487
,326121,estab.,603
,326121,empl.,28092
,326121,ann. pay.,1147929
,326121,est. rec.,7199312
Plastics Pipe and Pipe Fitting Manufacturing,326122,firms,289
,326122,estab.,428
,326122,empl.,21588
,326122,ann. pay.,875563
,326122,est. rec.,8450424
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",32613,firms,267
,32613,estab.,284
,32613,empl.,10718
,32613,ann. pay.,478294
,32613,est. rec.,2923984
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",326130,firms,267
,326130,estab.,284
,326130,empl.,10718
,326130,ann. pay.,478294
,326130,est. rec.,2923984
Polystyrene Foam Product Manufacturing,32614,firms,396
,32614,estab.,554
,32614,empl.,32229
,32614,ann. pay.,1203631
,32614,est. rec.,9142095
Polystyrene Foam Product Manufacturing,326140,firms,396
,326140,estab.,554
,326140,empl.,32229
,326140,ann. pay.,1203631
,326140,est. rec.,9142095
Urethane and Other Foam Product (except Polystyrene) Manufacturing,32615,firms,454
,32615,estab.,648
,32615,empl.,34825
,32615,ann. pay.,1276612
,32615,est. rec.,9271050
Urethane and Other Foam Product (except Polystyrene) Manufacturing,326150,firms,454
,326150,estab.,648
,326150,empl.,34825
,326150,ann. pay.,1276612
,326150,est. rec.,9271050
Plastics Bottle Manufacturing,32616,firms,181
,32616,estab.,394
,32616,empl.,32863
,32616,ann. pay.,1261835
,32616,est. rec.,11175884
Plastics Bottle Manufacturing,326160,firms,181
,326160,estab.,394
,326160,empl.,32863
,326160,ann. pay.,1261835
,326160,est. rec.,11175884
Other Plastics Product Manufacturing,32619,firms,6640
,32619,estab.,7780
,32619,empl.,450112
,32619,ann. pay.,16345772
,32619,est. rec.,89950925
Plastics Plumbing Fixture Manufacturing,326191,firms,496
,326191,estab.,537
,326191,empl.,24391
,326191,ann. pay.,776614
,326191,est. rec.,3787899
Resilient Floor Covering Manufacturing,326192,firms,49
,326192,estab.,60
,326192,empl.,4831
,326192,ann. pay.,255575
,326192,est. rec.,1873309
All Other Plastics Product Manufacturing,326199,firms,6113
,326199,estab.,7183
,326199,empl.,420890
,326199,ann. pay.,15313583
,326199,est. rec.,84289717
Rubber Product Manufacturing,3262,firms,1695
,3262,estab.,2179
,3262,empl.,147511
,3262,ann. pay.,6488459
,3262,est. rec.,38890244
Tire Manufacturing,32621,firms,451
,32621,estab.,649
,32621,empl.,57964
,32621,ann. pay.,3055152
,32621,est. rec.,18269076
Tire Manufacturing (except Retreading),326211,firms,87
,326211,estab.,129
,326211,empl.,49756
,326211,ann. pay.,2771851
,326211,est. rec.,16458764
Tire Retreading,326212,firms,370
,326212,estab.,520
,326212,empl.,8208
,326212,ann. pay.,283301
,326212,est. rec.,1810312
Rubber and Plastics Hoses and Belting Manufacturing,32622,firms,191
,32622,estab.,256
,32622,empl.,19781
,32622,ann. pay.,763451
,32622,est. rec.,4413569
Rubber and Plastics Hoses and Belting Manufacturing,326220,firms,191
,326220,estab.,256
,326220,empl.,19781
,326220,ann. pay.,763451
,326220,est. rec.,4413569
Other Rubber Product Manufacturing,32629,firms,1072
,32629,estab.,1274
,32629,empl.,69766
,32629,ann. pay.,2669856
,32629,est. rec.,16207599
Rubber Product Manufacturing for Mechanical Use,326291,firms,443
,326291,estab.,531
,326291,empl.,37472
,326291,ann. pay.,1416856
,326291,est. rec.,7707447
All Other Rubber Product Manufacturing,326299,firms,644
,326299,estab.,743
,326299,empl.,32294
,326299,ann. pay.,1253000
,326299,est. rec.,8500152
Nonmetallic Mineral Product Manufacturing,327,firms,11351
,327,estab.,17472
,327,empl.,472128
,327,ann. pay.,20380239
,327,est. rec.,127080322
Clay Product and Refractory Manufacturing,3271,firms,1346
,3271,estab.,1560
,3271,empl.,52544
,3271,ann. pay.,1967109
,3271,est. rec.,9075743
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",32711,firms,839
,32711,estab.,865
,32711,empl.,20195
,32711,ann. pay.,718853
,32711,est. rec.,2822131
Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,327111,firms,28
,327111,estab.,36
,327111,empl.,5241
,327111,ann. pay.,207982
,327111,est. rec.,931172
"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",327112,firms,701
,327112,estab.,703
,327112,empl.,8517
,327112,ann. pay.,230106
,327112,est. rec.,862385
Porcelain Electrical Supply Manufacturing,327113,firms,112
,327113,estab.,126
,327113,empl.,6437
,327113,ann. pay.,280765
,327113,est. rec.,1028574
Clay Building Material and Refractories Manufacturing,32712,firms,511
,32712,estab.,695
,32712,empl.,32349
,32712,ann. pay.,1248256
,32712,est. rec.,6253612
Brick and Structural Clay Tile Manufacturing,327121,firms,101
,327121,estab.,204
,327121,empl.,13582
,327121,ann. pay.,454505
,327121,est. rec.,2069483
Ceramic Wall and Floor Tile Manufacturing,327122,firms,175
,327122,estab.,187
,327122,empl.,6772
,327122,ann. pay.,224378
,327122,est. rec.,1118222
Other Structural Clay Product Manufacturing,327123,firms,52
,327123,estab.,56
,327123,empl.,1588
,327123,ann. pay.,61677
,327123,est. rec.,226320
Clay Refractory Manufacturing,327124,firms,110
,327124,estab.,138
,327124,empl.,4694
,327124,ann. pay.,197574
,327124,est. rec.,1185273
Nonclay Refractory Manufacturing,327125,firms,87
,327125,estab.,110
,327125,empl.,5713
,327125,ann. pay.,310122
,327125,est. rec.,1654314
Glass and Glass Product Manufacturing,3272,firms,1778
,3272,estab.,2102
,3272,empl.,97876
,3272,ann. pay.,4208981
,3272,est. rec.,23240465
Glass and Glass Product Manufacturing,32721,firms,1778
,32721,estab.,2102
,32721,empl.,97876
,32721,ann. pay.,4208981
,32721,est. rec.,23240465
Flat Glass Manufacturing,327211,firms,57
,327211,estab.,84
,327211,empl.,10489
,327211,ann. pay.,480350
,327211,est. rec.,3282484
Other Pressed and Blown Glass and Glassware Manufacturing,327212,firms,474
,327212,estab.,515
,327212,empl.,18646
,327212,ann. pay.,787543
,327212,est. rec.,3757182
Glass Container Manufacturing,327213,firms,32
,327213,estab.,72
,327213,empl.,J
,327213,ann. pay.,D
,327213,est. rec.,D
Glass Product Manufacturing Made of Purchased Glass,327215,firms,1242
,327215,estab.,1431
,327215,empl.,53643
,327215,ann. pay.,2111172
,327215,est. rec.,11180232
Cement and Concrete Product Manufacturing,3273,firms,5093
,3273,estab.,9963
,3273,empl.,221488
,3273,ann. pay.,9782166
,3273,est. rec.,66204977
Cement Manufacturing,32731,firms,128
,32731,estab.,283
,32731,empl.,17461
,32731,ann. pay.,1047583
,32731,est. rec.,10519268
Cement Manufacturing,327310,firms,128
,327310,estab.,283
,327310,empl.,17461
,327310,ann. pay.,1047583
,327310,est. rec.,10519268
Ready-Mix Concrete Manufacturing,32732,firms,2405
,32732,estab.,6063
,32732,empl.,101509
,32732,ann. pay.,4577319
,32732,est. rec.,34433411
Ready-Mix Concrete Manufacturing,327320,firms,2405
,327320,estab.,6063
,327320,empl.,101509
,327320,ann. pay.,4577319
,327320,est. rec.,34433411
"Concrete Pipe, Brick, and Block Manufacturing",32733,firms,762
,32733,estab.,1331
,32733,empl.,36070
,32733,ann. pay.,1557415
,32733,est. rec.,9475117
Concrete Block and Brick Manufacturing,327331,firms,587
,327331,estab.,948
,327331,empl.,22164
,327331,ann. pay.,959511
,327331,est. rec.,5925722
Concrete Pipe Manufacturing,327332,firms,187
,327332,estab.,383
,327332,empl.,13906
,327332,ann. pay.,597904
,327332,est. rec.,3549395
Other Concrete Product Manufacturing,32739,firms,1931
,32739,estab.,2286
,32739,empl.,66448
,32739,ann. pay.,2599849
,32739,est. rec.,11777181
Other Concrete Product Manufacturing,327390,firms,1931
,327390,estab.,2286
,327390,empl.,66448
,327390,ann. pay.,2599849
,327390,est. rec.,11777181
Lime and Gypsum Product Manufacturing,3274,firms,220
,3274,estab.,362
,3274,empl.,17332
,3274,ann. pay.,866692
,3274,est. rec.,7708085
Lime Manufacturing,32741,firms,41
,32741,estab.,85
,32741,empl.,4683
,32741,ann. pay.,250732
,32741,est. rec.,1952926
Lime Manufacturing,327410,firms,41
,327410,estab.,85
,327410,empl.,4683
,327410,ann. pay.,250732
,327410,est. rec.,1952926
Gypsum Product Manufacturing,32742,firms,179
,32742,estab.,277
,32742,empl.,12649
,32742,ann. pay.,615960
,32742,est. rec.,5755159
Gypsum Product Manufacturing,327420,firms,179
,327420,estab.,277
,327420,empl.,12649
,327420,ann. pay.,615960
,327420,est. rec.,5755159
Other Nonmetallic Mineral Product Manufacturing,3279,firms,3016
,3279,estab.,3485
,3279,empl.,82888
,3279,ann. pay.,3555291
,3279,est. rec.,20851052
Abrasive Product Manufacturing,32791,firms,286
,32791,estab.,334
,32791,empl.,15348
,32791,ann. pay.,744190
,32791,est. rec.,4763428
Abrasive Product Manufacturing,327910,firms,286
,327910,estab.,334
,327910,empl.,15348
,327910,ann. pay.,744190
,327910,est. rec.,4763428
All Other Nonmetallic Mineral Product Manufacturing,32799,firms,2736
,32799,estab.,3151
,32799,empl.,67540
,32799,ann. pay.,2811101
,32799,est. rec.,16087624
Cut Stone and Stone Product Manufacturing,327991,firms,2031
,327991,estab.,2089
,327991,empl.,31351
,327991,ann. pay.,1101449
,327991,est. rec.,3897843
Ground or Treated Mineral and Earth Manufacturing,327992,firms,169
,327992,estab.,275
,327992,empl.,7323
,327992,ann. pay.,363804
,327992,est. rec.,2850474
Mineral Wool Manufacturing,327993,firms,188
,327993,estab.,311
,327993,empl.,18798
,327993,ann. pay.,907151
,327993,est. rec.,6077904
All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,327999,firms,360
,327999,estab.,476
,327999,empl.,10068
,327999,ann. pay.,438697
,327999,est. rec.,3261403
Primary Metal Manufacturing,331,firms,4304
,331,estab.,5267
,331,empl.,438921
,331,ann. pay.,22854115
,331,est. rec.,256127735
Iron and Steel Mills and Ferroalloy Manufacturing,3311,firms,775
,3311,estab.,901
,3311,empl.,109998
,3311,ann. pay.,7482425
,3311,est. rec.,104869676
Iron and Steel Mills and Ferroalloy Manufacturing,33111,firms,775
,33111,estab.,901
,33111,empl.,109998
,33111,ann. pay.,7482425
,33111,est. rec.,104869676
Iron and Steel Mills,331111,firms,755
,331111,estab.,880
,331111,empl.,107688
,331111,ann. pay.,7347975
,331111,est. rec.,103339755
Electrometallurgical Ferroalloy Product Manufacturing,331112,firms,21
,331112,estab.,21
,331112,empl.,2310
,331112,ann. pay.,134450
,331112,est. rec.,1529921
Steel Product Manufacturing from Purchased Steel,3312,firms,550
,3312,estab.,699
,3312,empl.,44492
,3312,ann. pay.,2081450
,3312,est. rec.,21322277
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,33121,firms,205
,33121,estab.,264
,33121,empl.,21439
,33121,ann. pay.,1037919
,33121,est. rec.,9720230
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,331210,firms,205
,331210,estab.,264
,331210,empl.,21439
,331210,ann. pay.,1037919
,331210,est. rec.,9720230
Rolling and Drawing of Purchased Steel,33122,firms,350
,33122,estab.,435
,33122,empl.,23053
,33122,ann. pay.,1043531
,33122,est. rec.,11602047
Rolled Steel Shape Manufacturing,331221,firms,159
,331221,estab.,183
,331221,empl.,9632
,331221,ann. pay.,496584
,331221,est. rec.,6968676
Steel Wire Drawing,331222,firms,200
,331222,estab.,252
,331222,empl.,13421
,331222,ann. pay.,546947
,331222,est. rec.,4633371
Alumina and Aluminum Production and Processing,3313,firms,460
,3313,estab.,612
,3313,empl.,63988
,3313,ann. pay.,3126206
,3313,est. rec.,41108044
Alumina and Aluminum Production and Processing,33131,firms,460
,33131,estab.,612
,33131,empl.,63988
,33131,ann. pay.,3126206
,33131,est. rec.,41108044
Alumina Refining,331311,firms,13
,331311,estab.,14
,331311,empl.,G
,331311,ann. pay.,D
,331311,est. rec.,D
Primary Aluminum Production,331312,firms,56
,331312,estab.,67
,331312,empl.,8686
,331312,ann. pay.,505669
,331312,est. rec.,6589289
Secondary Smelting and Alloying of Aluminum,331314,firms,116
,331314,estab.,144
,331314,empl.,6929
,331314,ann. pay.,339931
,331314,est. rec.,6763898
"Aluminum Sheet, Plate, and Foil Manufacturing",331315,firms,85
,331315,estab.,109
,331315,empl.,17136
,331315,ann. pay.,1000743
,331315,est. rec.,16384383
Aluminum Extruded Product Manufacturing,331316,firms,144
,331316,estab.,200
,331316,empl.,26460
,331316,ann. pay.,1042025
,331316,est. rec.,8533232
Other Aluminum Rolling and Drawing,331319,firms,73
,331319,estab.,78
,331319,empl.,3390
,331319,ann. pay.,139711
,331319,est. rec.,1613884
Nonferrous Metal (except Aluminum) Production and Processing,3314,firms,739
,3314,estab.,938
,3314,empl.,60466
,3314,ann. pay.,3296079
,3314,est. rec.,54648045
Nonferrous Metal (except Aluminum) Smelting and Refining,33141,firms,153
,33141,estab.,181
,33141,empl.,9122
,33141,ann. pay.,554323
,33141,est. rec.,14657436
Primary Smelting and Refining of Copper,331411,firms,8
,331411,estab.,10
,331411,empl.,1912
,331411,ann. pay.,119281
,331411,est. rec.,8134305
Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),331419,firms,145
,331419,estab.,171
,331419,empl.,7210
,331419,ann. pay.,435042
,331419,est. rec.,6523131
"Copper Rolling, Drawing, Extruding, and Alloying",33142,firms,184
,33142,estab.,259
,33142,empl.,24650
,33142,ann. pay.,1236848
,33142,est. rec.,23842027
"Copper Rolling, Drawing, and Extruding",331421,firms,80
,331421,estab.,122
,331421,empl.,13874
,331421,ann. pay.,673118
,331421,est. rec.,16424210
Copper Wire (except Mechanical) Drawing,331422,firms,81
,331422,estab.,106
,331422,empl.,9530
,331422,ann. pay.,477220
,331422,est. rec.,6064812
"Secondary Smelting, Refining, and Alloying of Copper",331423,firms,29
,331423,estab.,31
,331423,empl.,1246
,331423,ann. pay.,86510
,331423,est. rec.,1353005
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",33149,firms,428
,33149,estab.,498
,33149,empl.,26694
,33149,ann. pay.,1504908
,33149,est. rec.,16148582
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",331491,firms,248
,331491,estab.,278
,331491,empl.,17098
,331491,ann. pay.,984868
,331491,est. rec.,9510787
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",331492,firms,191
,331492,estab.,220
,331492,empl.,9596
,331492,ann. pay.,520040
,331492,est. rec.,6637795
Foundries,3315,firms,1878
,3315,estab.,2117
,3315,empl.,159977
,3315,ann. pay.,6867955
,3315,est. rec.,34179693
Ferrous Metal Foundries,33151,firms,721
,33151,estab.,835
,33151,empl.,89953
,33151,ann. pay.,4108928
,33151,est. rec.,20559580
Iron Foundries,331511,firms,427
,331511,estab.,496
,331511,empl.,55075
,331511,ann. pay.,2608512
,331511,est. rec.,12621385
Steel Investment Foundries,331512,firms,111
,331512,estab.,128
,331512,empl.,16777
,331512,ann. pay.,690680
,331512,est. rec.,3077085
Steel Foundries (except Investment),331513,firms,199
,331513,estab.,211
,331513,empl.,18101
,331513,ann. pay.,809736
,331513,est. rec.,4861110
Nonferrous Metal Foundries,33152,firms,1180
,33152,estab.,1282
,33152,empl.,70024
,33152,ann. pay.,2759027
,33152,est. rec.,13620113
Aluminum Die-Casting Foundries,331521,firms,220
,331521,estab.,248
,331521,empl.,21319
,331521,ann. pay.,829062
,331521,est. rec.,4484111
Nonferrous (except Aluminum) Die-Casting Foundries,331522,firms,186
,331522,estab.,197
,331522,empl.,12231
,331522,ann. pay.,468769
,331522,est. rec.,2428306
Aluminum Foundries (except Die-Casting),331524,firms,439
,331524,estab.,467
,331524,empl.,25569
,331524,ann. pay.,978995
,331524,est. rec.,4112109
Copper Foundries (except Die-Casting),331525,firms,245
,331525,estab.,250
,331525,empl.,6285
,331525,ann. pay.,243203
,331525,est. rec.,1326307
Other Nonferrous Foundries (except Die-Casting),331528,firms,116
,331528,estab.,120
,331528,empl.,4620
,331528,ann. pay.,238998
,331528,est. rec.,1269280
Fabricated Metal Product Manufacturing,332,firms,55545
,332,estab.,59637
,332,empl.,1565866
,332,ann. pay.,67400836
,332,est. rec.,340156176
Forging and Stamping,3321,firms,2407
,3321,estab.,2664
,3321,empl.,124406
,3321,ann. pay.,5645758
,3321,est. rec.,32471892
Forging and Stamping,33211,firms,2407
,33211,estab.,2664
,33211,empl.,124406
,33211,ann. pay.,5645758
,33211,est. rec.,32471892
Iron and Steel Forging,332111,firms,369
,332111,estab.,406
,332111,empl.,23511
,332111,ann. pay.,1184420
,332111,est. rec.,7252983
Nonferrous Forging,332112,firms,61
,332112,estab.,72
,332112,empl.,8273
,332112,ann. pay.,481138
,332112,est. rec.,3496447
Custom Roll Forming,332114,firms,336
,332114,estab.,412
,332114,empl.,17922
,332114,ann. pay.,837679
,332114,est. rec.,7422406
Crown and Closure Manufacturing,332115,firms,49
,332115,estab.,58
,332115,empl.,3189
,332115,ann. pay.,148649
,332115,est. rec.,1101120
Metal Stamping,332116,firms,1503
,332116,estab.,1588
,332116,empl.,63014
,332116,ann. pay.,2663296
,332116,est. rec.,11676556
Powder Metallurgy Part Manufacturing,332117,firms,112
,332117,estab.,128
,332117,empl.,8497
,332117,ann. pay.,330576
,332117,est. rec.,1522380
Cutlery and Handtool Manufacturing,3322,firms,1371
,3322,estab.,1485
,3322,empl.,50529
,3322,ann. pay.,2220723
,3322,est. rec.,11061191
Cutlery and Handtool Manufacturing,33221,firms,1371
,33221,estab.,1485
,33221,empl.,50529
,33221,ann. pay.,2220723
,33221,est. rec.,11061191
Cutlery and Flatware (except Precious) Manufacturing,332211,firms,142
,332211,estab.,144
,332211,empl.,5281
,332211,ann. pay.,269956
,332211,est. rec.,1495890
Hand and Edge Tool Manufacturing,332212,firms,1048
,332212,estab.,1133
,332212,empl.,35447
,332212,ann. pay.,1500688
,332212,est. rec.,6799805
Saw Blade and Handsaw Manufacturing,332213,firms,131
,332213,estab.,140
,332213,empl.,6100
,332213,ann. pay.,293813
,332213,est. rec.,1437341
"Kitchen Utensil, Pot, and Pan Manufacturing",332214,firms,61
,332214,estab.,68
,332214,empl.,3701
,332214,ann. pay.,156266
,332214,est. rec.,1328155
