NAICS Description,naics2002,data,total
,211111,est. rec.,194107252
Natural Gas Liquid Extraction,211112,firms,139
,211112,estab.,321
,211112,empl.,8523
,211112,ann. pay.,616805
,211112,est. rec.,39977741
Mining (except Oil and Gas),212,firms,4465
,212,estab.,7008
,212,empl.,218044
,212,ann. pay.,11918650
,212,est. rec.,85057794
Coal Mining,2121,firms,679
,2121,estab.,1066
,2121,empl.,79848
,2121,ann. pay.,4991923
,2121,est. rec.,33550214
Coal Mining,21211,firms,679
,21211,estab.,1066
,21211,empl.,79848
,21211,ann. pay.,4991923
,21211,est. rec.,33550214
Bituminous Coal and Lignite Surface Mining,212111,firms,391
,212111,estab.,569
,212111,empl.,38396
,212111,ann. pay.,2376655
,212111,est. rec.,18205318
Bituminous Coal Underground Mining,212112,firms,252
,212112,estab.,419
,212112,empl.,39749
,212112,ann. pay.,2526942
,212112,est. rec.,14975547
Anthracite Mining,212113,firms,69
,212113,estab.,78
,212113,empl.,1703
,212113,ann. pay.,88326
,212113,est. rec.,369349
Metal Ore Mining,2122,firms,256
,2122,estab.,318
,2122,empl.,34657
,2122,ann. pay.,2230298
,2122,est. rec.,23160346
Iron Ore Mining,21221,firms,21
,21221,estab.,27
,21221,empl.,5044
,21221,ann. pay.,378262
,21221,est. rec.,3019014
Iron Ore Mining,212210,firms,21
,212210,estab.,27
,212210,empl.,5044
,212210,ann. pay.,378262
,212210,est. rec.,3019014
Gold Ore and Silver Ore Mining,21222,firms,139
,21222,estab.,158
,21222,empl.,12959
,21222,ann. pay.,776426
,21222,est. rec.,5974351
Gold Ore Mining,212221,firms,131
,212221,estab.,148
,212221,empl.,12276
,212221,ann. pay.,741958
,212221,est. rec.,5726285
Silver Ore Mining,212222,firms,9
,212222,estab.,10
,212222,empl.,683
,212222,ann. pay.,34468
,212222,est. rec.,248066
"Copper, Nickel, Lead, and Zinc Mining",21223,firms,39
,21223,estab.,57
,21223,empl.,12602
,21223,ann. pay.,783202
,21223,est. rec.,12039052
Lead Ore and Zinc Ore Mining,212231,firms,14
,212231,estab.,21
,212231,empl.,2209
,212231,ann. pay.,161449
,212231,est. rec.,2269012
Copper Ore and Nickel Ore Mining,212234,firms,26
,212234,estab.,36
,212234,empl.,10393
,212234,ann. pay.,621753
,212234,est. rec.,9770040
Other Metal Ore Mining,21229,firms,63
,21229,estab.,76
,21229,empl.,4052
,21229,ann. pay.,292408
,21229,est. rec.,2127929
Uranium-Radium-Vanadium Ore Mining,212291,firms,30
,212291,estab.,37
,212291,empl.,617
,212291,ann. pay.,39059
,212291,est. rec.,193967
All Other Metal Ore Mining,212299,firms,33
,212299,estab.,39
,212299,empl.,3435
,212299,ann. pay.,253349
,212299,est. rec.,1933962
Nonmetallic Mineral Mining and Quarrying,2123,firms,3544
,2123,estab.,5624
,2123,empl.,103539
,2123,ann. pay.,4696429
,2123,est. rec.,28347234
Stone Mining and Quarrying,21231,firms,1487
,21231,estab.,2723
,21231,empl.,55725
,21231,ann. pay.,2479266
,21231,est. rec.,15092096
Dimension Stone Mining and Quarrying,212311,firms,423
,212311,estab.,452
,212311,empl.,4981
,212311,ann. pay.,176183
,212311,est. rec.,640606
Crushed and Broken Limestone Mining and Quarrying,212312,firms,588
,212312,estab.,1414
,212312,empl.,33567
,212312,ann. pay.,1500598
,212312,est. rec.,9492858
Crushed and Broken Granite Mining and Quarrying,212313,firms,129
,212313,estab.,345
,212313,empl.,8308
,212313,ann. pay.,413642
,212313,est. rec.,3006532
Other Crushed and Broken Stone Mining and Quarrying,212319,firms,402
,212319,estab.,512
,212319,empl.,8869
,212319,ann. pay.,388843
,212319,est. rec.,1952100
"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",21232,firms,1895
,21232,estab.,2605
,21232,empl.,38242
,21232,ann. pay.,1680475
,21232,est. rec.,9331617
Construction Sand and Gravel Mining,212321,firms,1716
,212321,estab.,2311
,212321,empl.,29259
,212321,ann. pay.,1267436
,212321,est. rec.,6798467
Industrial Sand Mining,212322,firms,104
,212322,estab.,156
,212322,empl.,H
,212322,ann. pay.,163335
,212322,est. rec.,1083592
Kaolin and Ball Clay Mining,212324,firms,22
,212324,estab.,34
,212324,empl.,2796
,212324,ann. pay.,144016
,212324,est. rec.,877350
Clay and Ceramic and Refractory Minerals Mining,212325,firms,76
,212325,estab.,104
,212325,empl.,2775
,212325,ann. pay.,105688
,212325,est. rec.,572208
Other Nonmetallic Mineral Mining and Quarrying,21239,firms,257
,21239,estab.,296
,21239,empl.,9572
,21239,ann. pay.,536688
,21239,est. rec.,3923521
"Potash, Soda, and Borate Mineral Mining",212391,firms,17
,212391,estab.,19
,212391,empl.,2014
,212391,ann. pay.,126528
,212391,est. rec.,1644421
Phosphate Rock Mining,212392,firms,9
,212392,estab.,10
,212392,empl.,G
,212392,ann. pay.,D
,212392,est. rec.,D
Other Chemical and Fertilizer Mineral Mining,212393,firms,40
,212393,estab.,46
,212393,empl.,1778
,212393,ann. pay.,99197
,212393,est. rec.,495253
All Other Nonmetallic Mineral Mining,212399,firms,196
,212399,estab.,221
,212399,empl.,4208
,212399,ann. pay.,186076
,212399,est. rec.,862658
Support Activities for Mining,213,firms,9809
,213,estab.,11652
,213,empl.,341034
,213,ann. pay.,18920843
,213,est. rec.,76426643
Support Activities for Mining,2131,firms,9809
,2131,estab.,11652
,2131,empl.,341034
,2131,ann. pay.,18920843
,2131,est. rec.,76426643
Support Activities for Mining,21311,firms,9809
,21311,estab.,11652
,21311,empl.,341034
,21311,ann. pay.,18920843
,21311,est. rec.,76426643
Drilling Oil and Gas Wells,213111,firms,2059
,213111,estab.,2482
,213111,empl.,106426
,213111,ann. pay.,6242616
,213111,est. rec.,23848238
Support Activities for Oil and Gas Operations,213112,firms,7134
,213112,estab.,8372
,213112,empl.,214531
,213112,ann. pay.,11730937
,213112,est. rec.,49219096
Support Activities for Coal Mining,213113,firms,280
,213113,estab.,316
,213113,empl.,7516
,213113,ann. pay.,342776
,213113,est. rec.,1260661
Support Activities for Metal Mining,213114,firms,126
,213114,estab.,210
,213114,empl.,6540
,213114,ann. pay.,324000
,213114,est. rec.,1026325
Support Activities for Nonmetallic Minerals (except Fuels),213115,firms,253
,213115,estab.,272
,213115,empl.,6021
,213115,ann. pay.,280514
,213115,est. rec.,1072323
Utilities,22,firms,6123
,22,estab.,16674
,22,empl.,622757
,22,ann. pay.,51124656
,22,est. rec.,573769194
Utilities,221,firms,6123
,221,estab.,16674
,221,empl.,622757
,221,ann. pay.,51124656
,221,est. rec.,573769194
"Electric Power Generation, Transmission and Distribution",2211,firms,1687
,2211,estab.,9611
,2211,empl.,503134
,2211,ann. pay.,43265616
,2211,est. rec.,440342284
Electric Power Generation,22111,firms,549
,22111,estab.,2171
,22111,empl.,129563
,22111,ann. pay.,12028642
,22111,est. rec.,123842854
Hydroelectric Power Generation,221111,firms,140
,221111,estab.,372
,221111,empl.,4651
,221111,ann. pay.,348712
,221111,est. rec.,2746704
Fossil Fuel Electric Power Generation,221112,firms,206
,221112,estab.,1291
,221112,empl.,83883
,221112,ann. pay.,7468763
,221112,est. rec.,87960670
Nuclear Electric Power Generation,221113,firms,26
,221113,estab.,73
,221113,empl.,29531
,221113,ann. pay.,3173803
,221113,est. rec.,22140216
Other Electric Power Generation,221119,firms,254
,221119,estab.,435
,221119,empl.,11498
,221119,ann. pay.,1037364
,221119,est. rec.,10995264
"Electric Power Transmission, Control, and Distribution",22112,firms,1219
,22112,estab.,7440
,22112,empl.,373571
,22112,ann. pay.,31236974
,22112,est. rec.,316499430
Electric Bulk Power Transmission and Control,221121,firms,56
,221121,estab.,107
,221121,empl.,5085
,221121,ann. pay.,465415
,221121,est. rec.,4912834
Electric Power Distribution,221122,firms,1176
,221122,estab.,7333
,221122,empl.,368486
,221122,ann. pay.,30771559
,221122,est. rec.,311586596
Natural Gas Distribution,2212,firms,507
,2212,estab.,2283
,2212,empl.,79354
,2212,ann. pay.,5924364
,2212,est. rec.,123708390
Natural Gas Distribution,22121,firms,507
,22121,estab.,2283
,22121,empl.,79354
,22121,ann. pay.,5924364
,22121,est. rec.,123708390
Natural Gas Distribution,221210,firms,507
,221210,estab.,2283
,221210,empl.,79354
,221210,ann. pay.,5924364
,221210,est. rec.,123708390
"Water, Sewage and Other Systems",2213,firms,3998
,2213,estab.,4780
,2213,empl.,40269
,2213,ann. pay.,1934676
,2213,est. rec.,9718520
Water Supply and Irrigation Systems,22131,firms,3579
,22131,estab.,4068
,22131,empl.,33017
,22131,ann. pay.,1586601
,22131,est. rec.,7734523
Water Supply and Irrigation Systems,221310,firms,3579
,221310,estab.,4068
,221310,empl.,33017
,221310,ann. pay.,1586601
,221310,est. rec.,7734523
Sewage Treatment Facilities,22132,firms,376
,22132,estab.,624
,22132,empl.,5829
,22132,ann. pay.,244018
,22132,est. rec.,953068
Sewage Treatment Facilities,221320,firms,376
,221320,estab.,624
,221320,empl.,5829
,221320,ann. pay.,244018
,221320,est. rec.,953068
Steam and Air-Conditioning Supply,22133,firms,63
,22133,estab.,88
,22133,empl.,1423
,22133,ann. pay.,104057
,22133,est. rec.,1030929
Steam and Air-Conditioning Supply,221330,firms,63
,221330,estab.,88
,221330,empl.,1423
,221330,ann. pay.,104057
