"year" "country" "case" "start_L" "electr_L" "total_L"
"1" 2014 "Bangladesh" 20 31.3333333333333 7266.16666666667 7297.5
"2" 2014 "Belgium" 1 8.25627030731168 146.866346812756 155.122617120068
"3" 2014 "Bulgaria" 2 1.87338296202632 639.385604939583 641.25898790161
"4" 2014 "Chile" 3 1.56320094079156 142.697914452258 144.26111539305
"5" 2014 "Colombia" 17 12.0751576580575 871.98738501386 884.062542671917
"6" 2014 "Ethiopia" 4 168.333333333333 3146.66666666667 3315
"7" 2014 "Finland" 5 1.80305753868673 48.5186392228429 50.3216967615297
"8" 2014 "France" 6 1.4285625190166 68.5710009127968 69.9995634318134
"9" 2014 "Ghana" 7 38.8333333333333 3825.5 3864.33333333333
"10" 2014 "Hungary" 8 14.2980490173043 193.522430885375 207.820479902679
"11" 2014 "India" 18 83.1608747840585 1234.49492761966 1317.65580240372
"12" 2014 "Italy" 9 26.3111502220644 400.040657249556 426.35180747162
"13" 2014 "Kenya" 10 89.3079803452383 2527.97694102896 2617.2849213742
"14" 2014 "Latvia" 11 3.28436639960748 563.700991006316 566.985357405923
"15" 2014 "Malaysia" 19 14.3033596171976 62.1066930746737 76.4100526918712
"16" 2014 "Pakistan" 21 17.3333333333333 2461.83333333333 2479.16666666667
"17" 2014 "Peru" 12 30.9887223629453 1153.75906313408 1184.74778549703
"18" 2014 "Portugal" 13 4.13248546123777 92.2921753009769 96.4246607622146
"19" 2014 "Romania" 14 5.25533850527295 162.258576350302 167.513914855575
"20" 2014 "Salvador" 15 74.3333333333333 936.5 1010.83333333333
"21" 2014 "Spain" 16 8.62647529235904 381.807796439811 390.43427173217
