AvSize10,AvSize10_Usa_weight,country,year
105.866573871545,97.5398920558475,Belgium,2014
61.2513471440546,70.8177916473567,Bulgaria,2014
119.099840820658,94.3578890503543,Chile,2014
58.0182117572817,57.0086932820481,ethiopia,2011
163.682998819362,146.124688798631,Finland,2014
140.762545119966,146.992933562934,France,2014
41.9333551081869,44.1142650563647,ghana,2003
96.22494807892,101.135810291518,Hungary,2014
67.3998269729886,67.4444472211646,Italy,2014
231.791072250345,162.628066350241,Kenya,2009
56.8314833501514,59.6807900789162,Latvia,2014
107.939202753083,75.640480751461,Peru,2008
46.4979117486835,51.0222879697903,Portugal,2014
81.6021463566374,84.6065704289984,Romania,2014
73.9158935701318,62.5351227816277,salvador,2004
67.1584813653779,68.8955770255148,Spain,2014
78.7333225388601,65.8877589527186,Colombia,2014
82.7624182994729,70.3783110642189,India,2004
98.639552388599,96.9356862053274,Malaysia,2015
117.309260165802,61.7165325809883,Bangladesh,2012
148.358984065228,106.8900954107,Pakistan,2005
