"country" "case" "totalgain" "gainmisalloc" "gaineb" "gain_sum" "gainmisalloc_eff" "gaineb_eff" "totaldiff" "diffmisalloc"
"1" "Belgium" 1 0.0851871614548647 0.0836689826082226 0.00102595145492912 0.0846949340631518 0.0840749531793981 0.00140096179830485 0.000492227391712952 0.000405970571175418
"2" "Bulgaria" 2 0.112914669489577 0.105625737972742 0.0221525171751324 0.127778255147875 0.0887951169608998 0.00659258487433467 -0.0148635856582982 -0.0168306210118425
"3" "Chile" 3 0.110086952359351 0.108647402585103 0.0190659931334527 0.127713395718556 0.0893180224236747 0.00129847395203453 -0.017626443359205 -0.0193293801614285
"4" "Ethiopia" 4 0.205740621199451 0.146063355056625 0.0298672814250716 0.175930636481696 0.170772819902596 0.0520715245623378 0.0298099847177546 0.0247094648459707
"5" "Finland" 5 0.000709740093794542 0.000270276788123747 0.000414519974890171 0.000684796763013917 0.000295097794973831 0.000439344561034227 2.49433307806246e-05 2.48210068500843e-05
"6" "France" 6 0.000875461387723986 0.000260121263638169 0.000580192379258326 0.000840313642896495 0.000295097794973831 0.000615180102660151 3.51477448274906e-05 3.4976531335662e-05
"7" "Ghana" 7 0.203538119622873 0.132987439555539 0.0310531902062725 0.164040629761811 0.167290039985321 0.0622696047672076 0.0394974898610614 0.0343026004297824
"8" "Hungary" 8 0.0661821621920504 0.0641526414373306 0.00124339266280327 0.0653960341001338 0.0648581254119867 0.00190717071563951 0.000786128091916583 0.000705483974656085
"9" "Italy" 9 0.0184989834061957 0.0142826799026736 0.00279854982926775 0.0170812297319414 0.0156566177519912 0.00415693138319839 0.00141775367425434 0.00137393784931761
"10" "Kenya" 10 0.291720207983981 0.243522857646632 0.0274911446386703 0.271014002285302 0.257159455557381 0.0387587168510621 0.0207062056986791 0.0136365979107493
"11" "Latvia" 11 0.0427428273584773 0.0368057266868265 0.0100704477609828 0.0468761744478092 0.0323466345044736 0.0057263386175761 -0.00413334708933188 -0.00445909218235285
"12" "Peru" 12 0.110110123371191 0.095047863091881 0.0101520571462228 0.105199920238104 0.0989534847925364 0.0137548876053524 0.00491020313308721 0.00390562170065545
"13" "Portugal" 13 0.24638371592263 0.24531923054616 0.000667573542022071 0.245986804088183 0.245552218216541 0.000854789157959335 0.000396911834447122 0.000232987670381046
"14" "Romania" 14 0.103613354494452 0.101939880390181 0.000996380814627607 0.102936261204809 0.102514829870127 0.00151866189258687 0.000677093289642716 0.000574949479945408
"15" "Salvador" 15 0.255064218649974 0.241043727168164 0.0155377824571197 0.256581509625284 0.235861668891643 0.0112973388244761 -0.00151729097531006 -0.00518205827652163
"16" "Spain" 16 0.00987057458002716 0.00607656191549433 0.00266893426691506 0.00874549618240938 0.00718247077075107 0.00377109735794812 0.00112507839761777 0.00110590885525674
"17" "Colombia" 17 0.131674559891974 0.120905720697287 0.0103053308151495 0.131211051512436 0.120131236938936 0.00960726579929339 0.000463508379537902 -0.000774483758350986
"18" "India" 18 0.12476218364525 0.107324588447769 0.0111469029851843 0.118471491432954 0.112362783611997 0.0157475011206283 0.00629069221229606 0.00503819516422777
"19" "Malaysia" 19 0.06637786793107 0.0656607393686843 0.000448182495171201 0.0661089218638555 0.0659001501421759 0.000672942650407293 0.000268946067214504 0.000239410773491544
"20" "Bangladesh" 20 0.334778847885424 0.199454750935788 0.0723850364384506 0.271839787374239 0.244682462484205 0.112821343901518 0.0629390605111853 0.0452277115484163
"21" "Pakistan" 21 0.387442045064065 0.339025524804037 0.0287999804021108 0.367825505206147 0.348602324546873 0.0361580263879686 0.0196165398579171 0.00957679974283687
